"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHC1080",1129408,79.217529,20.686646,48.973606
"DHT22",1129408,80.699997,19.700001,48.973606
"DHC1080",1134684,79.217529,20.686646,48.191593
"DHT22",1134684,80.400002,19.700001,48.191593
"DHC1080",1139960,79.217529,20.686646,39.296188
"DHT22",1139960,80.599998,19.700001,39.296188
"DHC1080",1145236,79.516602,20.686646,36.168133
"DHT22",1145236,81.000000,19.700001,36.168133
"DHC1080",1150513,79.516602,20.686646,49.364613
"DHT22",1150513,81.000000,19.700001,49.364613
"DHC1080",1155789,79.516602,20.686646,50.439884
"DHT22",1155789,81.000000,19.700001,50.439884
"DHC1080",1161065,79.516602,20.686646,54.936462
"DHT22",1161065,81.000000,19.700001,54.936462
"DHC1080",1166341,79.718018,20.656433,64.125122
"DHT22",1166341,81.099998,19.700001,64.125122
"DHC1080",1171618,79.718018,20.656433,49.560116
"DHT22",1171618,80.900002,19.700001,49.560116
"DHC1080",1176894,79.718018,20.656433,46.236561
"DHT22",1176894,80.800003,19.700001,46.236561
"DHC1080",1182170,79.718018,20.656433,35.190617
"DHT22",1182170,81.000000,19.700001,35.190617
"DHC1080",1187446,79.821777,20.656433,38.220921
"DHT22",1187446,81.099998,19.700001,38.220921
"DHC1080",1192723,79.821777,20.656433,49.853371
"DHT22",1192723,80.699997,19.700001,49.853371
"DHC1080",1197999,79.821777,20.656433,61.192570
"DHT22",1197999,80.599998,19.700001,61.192570
"DHC1080",1203275,79.821777,20.656433,49.169109
"DHT22",1203275,80.800003,19.700001,49.169109
"DHC1080",1208551,79.315186,20.616150,41.739979
"DHT22",1208551,80.800003,19.700001,41.739979
"DHC1080",1213827,79.315186,20.616150,49.560116
"DHT22",1213827,80.900002,19.700001,49.560116
"DHC1080",1219103,79.315186,20.616150,57.673508
"DHT22",1219103,80.699997,19.700001,57.673508
"DHC1080",1224379,79.315186,20.616150,49.071358
"DHT22",1224379,80.599998,19.700001,49.071358
"DHC1080",1229655,79.119873,20.616150,46.627567
"DHT22",1229655,80.599998,19.700001,46.627567
"DHC1080",1234932,79.119873,20.616150,34.310852
"DHT22",1234932,81.300003,19.700001,34.310852
"DHC1080",1240208,79.119873,20.616150,50.342133
"DHT22",1240208,81.900002,19.700001,50.342133
"DHC1080",1245484,79.119873,20.616150,63.831867
"DHT22",1245484,81.800003,19.700001,63.831867
"DHC1080",1250760,79.516602,20.585937,47.996090
"DHT22",1250760,82.099998,19.700001,47.996090
"DHC1080",1256037,79.516602,20.585937,34.115349
"DHT22",1256037,81.900002,19.700001,34.115349
"DHC1080",1261313,79.516602,20.585937,50.830891
"DHT22",1261313,82.000000,19.700001,50.830891
"DHC1080",1266589,79.516602,20.585937,63.538612
"DHT22",1266589,82.000000,19.700001,63.538612
"DHC1080",1271865,80.419922,20.585937,48.582600
"DHT22",1271865,81.900002,19.700001,48.582600
"DHC1080",1277142,80.419922,20.585937,40.469208
"DHT22",1277142,82.599998,19.700001,40.469208
"DHC1080",1282418,80.419922,20.585937,48.875854
"DHT22",1282418,81.900002,19.700001,48.875854
"DHC1080",1287694,80.419922,20.585937,59.139786
"DHT22",1287694,82.199997,19.700001,59.139786
"DHC1080",1292970,80.419922,20.575867,48.484848
"DHT22",1292970,81.900002,19.600000,48.484848
"DHC1080",1298247,80.419922,20.575867,38.709679
"DHT22",1298247,82.400002,19.600000,38.709679
"DHC1080",1303523,80.419922,20.575867,48.973606
"DHT22",1303523,82.000000,19.600000,48.973606
"DHC1080",1308799,80.419922,20.575867,59.530792
"DHT22",1308799,82.199997,19.600000,59.530792
"DHC1080",1314075,80.621338,20.575867,48.778103
"DHT22",1314075,82.199997,19.700001,48.778103
"DHC1080",1319352,80.621338,20.575867,34.408604
"DHT22",1319352,82.300003,19.600000,34.408604
"DHC1080",1324628,80.621338,20.575867,52.883675
"DHT22",1324628,82.500000,19.600000,52.883675
"DHC1080",1329904,80.621338,20.575867,49.266861
"DHT22",1329904,82.199997,19.600000,49.266861
"DHC1080",1335180,80.322266,20.535583,44.965786
"DHT22",1335180,82.400002,19.600000,44.965786
"DHC1080",1340457,80.322266,20.535583,48.875854
"DHT22",1340457,82.500000,19.600000,48.875854
"DHC1080",1345733,80.322266,20.535583,53.763439
"DHT22",1345733,82.599998,19.600000,53.763439
"DHC1080",1351009,80.322266,20.535583,49.071358
"DHT22",1351009,82.400002,19.600000,49.071358
"DHC1080",1356285,80.718994,20.535583,46.236561
"DHT22",1356285,82.699997,19.600000,46.236561
"DHC1080",1361561,80.718994,20.535583,48.680351
"DHT22",1361561,82.599998,19.600000,48.680351
"DHC1080",1366837,80.718994,20.535583,59.237537
"DHT22",1366837,82.699997,19.600000,59.237537
"DHC1080",1372113,80.718994,20.535583,47.800587
"DHT22",1372113,82.699997,19.600000,47.800587
"DHC1080",1377389,81.121826,20.515442,48.484848
"DHT22",1377389,82.699997,19.600000,48.484848
"DHC1080",1382665,81.121826,20.515442,53.958942
"DHT22",1382665,83.099998,19.600000,53.958942
"DHC1080",1387941,81.121826,20.515442,48.680351
"DHT22",1387941,83.699997,19.600000,48.680351
"DHC1080",1393217,81.121826,20.515442,44.574780
"DHT22",1393217,83.000000,19.600000,44.574780
"DHC1080",1398493,81.225586,20.535583,37.536655
"DHT22",1398493,82.800003,19.600000,37.536655
"DHC1080",1403769,81.225586,20.535583,53.567936
"DHT22",1403769,82.900002,19.600000,53.567936
"DHC1080",1409045,81.225586,20.535583,48.582600
"DHT22",1409045,83.000000,19.600000,48.582600
"DHC1080",1414321,81.225586,20.535583,33.919842
"DHT22",1414321,82.599998,19.600000,33.919842
"DHC1080",1419597,81.024170,20.505371,50.830891
"DHT22",1419597,82.400002,19.500000,50.830891
"DHC1080",1424874,81.024170,20.505371,57.869011
"DHT22",1424874,82.400002,19.600000,57.869011
"DHC1080",1430150,81.024170,20.505371,44.574780
"DHT22",1430150,82.099998,19.600000,44.574780
"DHC1080",1435426,81.024170,20.505371,48.582600
"DHT22",1435426,82.300003,19.600000,48.582600
"DHC1080",1440702,80.718994,20.515442,51.612904
"DHT22",1440702,82.400002,19.600000,51.612904
"DHC1080",1445979,80.718994,20.515442,49.071358
"DHT22",1445979,82.599998,19.600000,49.071358
"DHC1080",1451255,80.718994,20.515442,39.687195
"DHT22",1451255,82.599998,19.600000,39.687195
"DHC1080",1456531,80.718994,20.515442,48.778103
"DHT22",1456531,82.400002,19.600000,48.778103
"DHC1080",1461807,80.621338,20.505371,63.343109
"DHT22",1461807,82.099998,19.600000,63.343109
"DHC1080",1467084,80.621338,20.505371,46.041058
